업종,업소명,대표자,시/도,시/군/구,주소(도로명 새주소 명기),변경후 연락처,대표품목, 변경후 가격(원),가격부가설명,영업시간,배달가능여부,주차가능여부
한식,바보네집,김정선,서울,강남구,(논현2동)논현로120길 14,02-544-8870,김치찌개,6000,,11:00~21:00,N,N
한식,완성식당,안홍철,서울,강남구,(논현2동)선릉로125길 7,02-542-5888,된장찌개,6000,,05:00~21:00,Y,N
한식,청송숯불화로구이,최정복,서울,강남구,(논현2동)언주로114길 17,02-549-3739,돼지갈비(300g),16000,,09:00~22:00,N,Y
한식,항아리 숯불갈비,조희영,서울,강남구,(논현2동)언주로134길 11-1,02-517-2260,김치찌개,6000,,11:00~21:00,N,N
한식,지리산,문현임,서울,강남구,(논현2동)학동로43길 7 ,02-546-3127,닭곰탕,7000,,11:00~21:00,N,N
한식,청계산갈비살,정현희,서울,강남구,(논현2동)학동로45길 7,02-543-2198,돼지갈비(250g),13000,,16:00~02:00,Y,N
한식,해남식당,이정옥,서울,강남구,(청담동)학동로 609 삼익상가 4호,02-543-9660,김치찌개,6000,,09:00~20:00,N,Y
한식,청숫골보리밥쌈밥,전미선,서울,강남구,(청담동)삼성로 706,02-3443-4402,김치찌개,6000,,10:00~21:00,N,Y
한식,가정식당,조근현,서울,강남구,(청담동)학동로77길 20 ,02-514-8009,김치찌개,6000,,09:00~21:00,Y,N
한식,트윈쿡,채아미,서울,강남구,(삼성1동)영동대로 513 M 112호,02-6002-3225,김치찌개,7000,,07:30~21:30,N,Y
한식,창하식당,김종호,서울,강남구,(삼성2동)선릉로112길 50 우성빌딩 B1,02-515-3617,들깨시래기국밥,6000,,11:00~21:00,Y,N
한식,시골청국장,김금숙,서울,강남구,(삼성1동)학동로 504 서울빌딩 101,02-548-0171,된장찌개,6000,,11:00~21:00,N,Y
한식,우리생고기(한우리 숯불구이),최봉영,서울,강남구,(개포2동)선릉로8길 9,02-577-7740,된장찌개,5000,,10:00~22:00,N,Y
한식,숙아채 콩나물국밥,현남양,서울,강남구, (개포4동)개포로20길 17,02-571-4441,콩나물국밥,4500,,06:00~22:00,N,Y
한식,바지락칼국수,김영심,서울,강남구,(개포4동)개포로17길 3-10,02-529-5317,김치찌개,5000,,10:00~22:00,N,N
한식,누이야식당,김영수,서울,강남구,(개포4동)논현로4길 14,02-575-4984,김치찌개,6000,,10:00~20:00,N,Y
